country;year;uneducated;primary;secondary;tertiary;years of education total;years education primary;years education secondary;years education tertiary;population in thousands;region
;2005;64,3;15,3;13,3;7;3,32;2,29;0,81;0,22;15175;Asia and the Pacific
;2010;56,7;19,3;16,9;7,1;3,93;2,68;1,02;0,23;18349;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Bangladesh;1870;99,8;0,1;0,1;0;0,01;0,01;0;0;13673;Asia and the Pacific
;1875;99,7;0,2;0,1;0;0,02;0,01;0;0;13933;Asia and the Pacific
;1880;99,6;0,2;0,1;0;0,02;0,01;0,01;0;14191;Asia and the Pacific
;1885;99,5;0,3;0,2;0;0,03;0,02;0,01;0;14759;Asia and the Pacific
;1890;99,4;0,4;0,2;0;0,03;0,02;0,01;0;15324;Asia and the Pacific
;1895;99,2;0,5;0,3;0;0,04;0,03;0,01;0;15886;Asia and the Pacific
;1900;98,9;0,6;0,4;0;0,06;0,04;0,02;0;16445;Asia and the Pacific
;1905;95,4;3,4;1,1;0,1;0,2;0,15;0,04;0;17000;Asia and the Pacific
;1910;92,1;6;1,8;0,1;0,33;0,26;0,07;0;17552;Asia and the Pacific
;1915;89,7;7,8;2,4;0,1;0,44;0,34;0,1;0;18100;Asia and the Pacific
;1920;89,4;8,6;1,9;0,1;0,42;0,34;0,08;0;18646;Asia and the Pacific
;1925;87,5;10,1;2,3;0,2;0,5;0,4;0,09;0;19536;Asia and the Pacific
;1930;85,5;11,7;2,7;0,2;0,58;0,46;0,11;0,01;20421;Asia and the Pacific
;1935;83,7;13,1;3,1;0,2;0,65;0,52;0,12;0,01;21301;Asia and the Pacific
;1940;81,7;14,4;3,7;0,2;0,75;0,59;0,15;0,01;22175;Asia and the Pacific
;1945;79,8;15,7;4,4;0,2;0,85;0,66;0,18;0,01;23045;Asia and the Pacific
;1950;78,2;16,5;5,1;0,3;0,93;0,72;0,2;0,01;24549;Asia and the Pacific
;1955;78;16,6;5,2;0,3;0,95;0,73;0,21;0,01;26111;Asia and the Pacific
;1960;77,1;16,8;5,8;0,3;1,03;0,78;0,24;0,01;28038;Asia and the Pacific
;1965;77,5;15;7;0,5;1,27;0,97;0,29;0,02;30255;Asia and the Pacific
;1970;77,8;13;8,4;0,8;1,41;1,04;0,35;0,02;33999;Asia and the Pacific
;1975;76,7;10,9;11,5;0,9;1,63;1,13;0,48;0,03;38354;Asia and the Pacific
;1980;66,1;17,4;15,3;1,1;2,31;1,65;0,62;0,03;43945;Asia and the Pacific
;1985;58,7;21,5;17,7;2,1;2,87;2,03;0,77;0,06;50651;Asia and the Pacific
;1990;55,3;22,9;19;2,8;3,15;2,2;0,87;0,08;58194;Asia and the Pacific
;1995;50,5;23,6;22,2;3,7;3,72;2,44;1,17;0,11;66434;Asia and the Pacific
;2000;42,6;22,8;31;3,7;4,77;2,83;1,82;0,12;76169;Asia and the Pacific
;2005;37,6;20,8;37,6;3,9;5,51;3,09;2,3;0,13;86387;Asia and the Pacific
;2010;30,4;22,4;43,1;4,2;6,22;3,46;2,62;0,13;97575;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Cambodia;1870;100;0;0;0;0,01;0;0;0;1343;Asia and the Pacific
;1875;100;0;0;0;0,01;0;0;0;1384;Asia and the Pacific
;1880;100;0;0;0;0,01;0;0;0;1425;Asia and the Pacific
;1885;100;0;0;0;0,01;0;0;0;1473;Asia and the Pacific
;1890;100;0;0;0;0,01;0;0;0;1520;Asia and the Pacific
;1895;100;0;0;0;0,01;0;0;0;1570;Asia and the Pacific
;1900;100;0;0;0;0,01;0;0;0;1620;Asia and the Pacific
;1905;100;0,1;0;0;0,01;0;0;0;1673;Asia and the Pacific
;1910;99,9;0,1;0;0;0,01;0,01;0;0;1727;Asia and the Pacific
;1915;99,8;0,2;0;0;0,01;0,01;0;0;1777;Asia and the Pacific
;1920;99,7;0,2;0;0;0,02;0,01;0;0;1827;Asia and the Pacific
;1925;99,6;0,4;0;0;0,02;0,02;0;0;1913;Asia and the Pacific
;1930;99,4;0,5;0;0;0,03;0,02;0;0;1999;Asia and the Pacific
;1935;99,1;0,8;0,1;0;0,04;0,04;0;0;2093;Asia and the Pacific
;1940;98,5;1,4;0,1;0;0,07;0,06;0,01;0;2187;Asia and the Pacific
;1945;93,6;5,9;0,4;0;0,29;0,27;0,02;0;2291;Asia and the Pacific
;1950;89,4;9,8;0,8;0;0,44;0,4;0,04;0;2394;Asia and the Pacific
;1955;84,6;14,1;1,3;0;0,67;0,6;0,06;0;2666;Asia and the Pacific
;1960;74,9;21,1;3,9;0,1;1,23;1,06;0,17;0;2978;Asia and the Pacific
;1965;69,3;25,6;5;0,1;1,53;1,31;0,22;0;3342;Asia and the Pacific
;1970;62,5;31;6,4;0,2;1,91;1,61;0,29;0;3746;Asia and the Pacific
;1975;55,2;36,7;7,9;0,2;2,31;1,93;0,37;0,01;3899;Asia and the Pacific
;1980;47,8;42,8;9,2;0,3;2,66;2,23;0,43;0,01;3765;Asia and the Pacific
;1985;43,1;46,7;9,9;0,3;2,89;2,42;0,46;0,01;4336;Asia and the Pacific
;1990;39;49,8;10,9;0,4;3,2;2,66;0,52;0,01;5136;Asia and the Pacific
;1995;34,8;53,7;11;0,4;3,41;2,85;0,55;0,01;5760;Asia and the Pacific
;2000;30,7;57,9;11;0,4;3,64;3,08;0,55;0,01;7146;Asia and the Pacific
;2005;25,3;58,8;14,4;1,6;4,26;3,42;0,8;0,05;8372;Asia and the Pacific
;2010;19,5;59,3;18,6;2,7;4,94;3,83;1,03;0,08;9512;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
China;1870;100;0;0;0;0,01;0;0;0;213960;Asia and the Pacific
;1875;100;0;0;0;0,01;0;0;0;217260;Asia and the Pacific
;1880;100;0;0;0;0,01;0;0;0;220609;Asia and the Pacific
;1885;99,9;0,1;0;0;0,01;0,01;0;0;224519;Asia and the Pacific
;1890;99,9;0,1;0;0;0,01;0,01;0;0;228497;Asia and the Pacific
;1895;99,8;0,2;0;0;0,01;0,01;0;0;234866;Asia and the Pacific
;1900;99,7;0,3;0;0;0,02;0,01;0;0;241254;Asia and the Pacific
;1905;99,5;0,4;0;0;0,02;0,02;0;0;248469;Asia and the Pacific
;1910;99,2;0,7;0,1;0;0,04;0,03;0;0;255899;Asia and the Pacific
;1915;98,8;1,1;0,1;0;0,06;0,05;0,01;0;270722;Asia and the Pacific
;1920;98,1;1,7;0,2;0;0,08;0,07;0,01;0;286404;Asia and the Pacific
;1925;96,5;3;0,4;0;0,16;0,14;0,02;0;291955;Asia and the Pacific
;1930;94,5;4,7;0,8;0,1;0,26;0,22;0,03;0;297613;Asia and the Pacific
;1935;92,3;6,6;1,1;0,1;0,36;0,31;0,04;0;307990;Asia and the Pacific
;1940;75,2;17,1;7,4;0,3;1,39;1,1;0,29;0,01;316679;Asia and the Pacific
;1945;72,6;19,2;7,8;0,3;1,53;1,22;0,3;0,01;325612;Asia and the Pacific
;1950;68,6;22,3;8,8;0,4;1,79;1,43;0,34;0,01;343863;Asia and the Pacific
;1955;61,4;27,9;10,2;0,6;2,18;1,76;0,41;0,02;354936;Asia and the Pacific
;1960;53,4;32,5;13,4;0,8;2,8;2,24;0,54;0,02;369925;Asia and the Pacific
;1965;45,1;37,1;16,9;0,9;3,4;2,69;0,68;0,03;404139;Asia and the Pacific
;1970;35,6;41,6;21,9;0,9;4,16;3,26;0,87;0,03;464831;Asia and the Pacific
;1975;28,6;42,1;28,4;1;4,83;3,69;1,12;0,03;520599;Asia and the Pacific
;1980;19,7;43,1;36,2;1;5,74;4,24;1,47;0,03;596819;Asia and the Pacific
;1985;18;40,2;40,3;1,5;6,16;4,43;1,69;0,05;690420;Asia and the Pacific
;1990;17,8;35,8;44,3;2;6,45;4,51;1,87;0,06;771073;Asia and the Pacific
;1995;11,7;33,4;51,4;3,5;7,17;4,79;2,26;0,11;822741;Asia and the Pacific
;2000;6,5;30,1;58,5;4,9;7,79;5,05;2,59;0,16;871078;Asia and the Pacific
;2005;4,2;25,5;65,2;5,1;8,02;5,13;2,73;0,16;934056;Asia and the Pacific
;2010;2,6;20,8;71,8;4,8;8,25;5,3;2,8;0,15;978480;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Fiji;1870;100;0;0;0;0,01;0;0;0;88;Asia and the Pacific
;1875;100;0;0;0;0,01;0,01;0;0;89;Asia and the Pacific
;1880;99,9;0,1;0;0;0,01;0,01;0;0;90;Asia and the Pacific
;1885;99,8;0,1;0;0;0,01;0,01;0;0;92;Asia and the Pacific
;1890;99,7;0,3;0,1;0;0,02;0,02;0;0;93;Asia and the Pacific
;1895;99,4;0,5;0,1;0;0,03;0,03;0;0;95;Asia and the Pacific
;1900;99;0,9;0,1;0;0,05;0,05;0;0;97;Asia and the Pacific
;1905;98,4;1,5;0,1;0;0,08;0,08;0;0;99;Asia and the Pacific
;1910;94,4;5,4;0,2;0;0,25;0,25;0,01;0;100;Asia and the Pacific
;1915;89,8;9,9;0,3;0,1;0,46;0,45;0,01;0;102;Asia and the Pacific
;1920;81,2;17,9;0,6;0,3;0,88;0,84;0,03;0,01;103;Asia and the Pacific
;1925;68,6;27,8;3;0,6;1,61;1,49;0,1;0,02;105;Asia and the Pacific
;1930;60,9;35,1;3,2;0,8;2;1,86;0,12;0,02;107;Asia and the Pacific
;1935;53,4;42,1;3,5;1;2,41;2,24;0,14;0,03;118;Asia and the Pacific
;1940;46,6;48,9;3,4;1,2;2,76;2,58;0,15;0,04;130;Asia and the Pacific
;1945;41,2;53,6;3,7;1,4;3,08;2,87;0,16;0,05;135;Asia and the Pacific
;1950;30,2;63,3;4,6;1,8;3,77;3,51;0,2;0,06;146;Asia and the Pacific
;1955;25,2;66,5;6,3;2,1;4,24;3,93;0,25;0,06;166;Asia and the Pacific
;1960;21,5;68,4;7,9;2,3;4,57;4,2;0,3;0,07;195;Asia and the Pacific
;1965;16,6;69,3;11,6;2,6;5,24;4,76;0,41;0,08;236;Asia and the Pacific
;1970;15,9;63,9;17,4;2,7;5,67;5,03;0,56;0,09;280;Asia and the Pacific
;1975;12,2;60,2;24,8;2,9;6,4;5,51;0,79;0,09;332;Asia and the Pacific
;1980;9,1;54,8;32,5;3,6;7,16;6;1,06;0,11;367;Asia and the Pacific
;1985;6,2;50,2;39,5;4,1;7,85;6,38;1,34;0,13;415;Asia and the Pacific
;1990;5,4;29,9;58;6,7;9,24;6,99;2,04;0,21;428;Asia and the Pacific
;1995;4,6;11,7;74,8;8,8;10,28;7,06;2,94;0,28;471;Asia and the Pacific
;2000;3,3;22,1;64;10,5;9,97;6,75;2,89;0,33;512;Asia and the Pacific
;2005;2,1;29,5;56,6;11,8;9,76;6,55;2,83;0,37;547;Asia and the Pacific
;2010;1,8;23,8;61,7;12,7;10,35;6,46;3,48;0,41;578;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Hong Kong, China;1870;99,9;0,1;0;0;0,01;0,01;0;0;76;Asia and the Pacific
;1875;99,6;0,4;0;0;0,02;0,01;0;0;91;Asia and the Pacific
;1880;99,1;0,9;0;0;0,04;0,03;0;0;106;Asia and the Pacific
;1885;98,1;1,9;0;0;0,07;0,06;0;0;120;Asia and the Pacific
;1890;96,5;3,5;0;0;0,12;0,12;0;0;136;Asia and the Pacific
;1895;94;6;0;0;0,2;0,2;0;0;165;Asia and the Pacific
;1900;90,5;9,4;0,1;0;0,32;0,32;0,01;0;196;Asia and the Pacific
;1905;88,2;11,7;0,1;0;0,4;0,4;0,01;0;254;Asia and the Pacific
;1910;83,8;14,9;0,8;0,4;0,67;0,58;0,08;0,01;313;Asia and the Pacific
;1915;79,8;17,8;1,6;0,8;0,92;0,75;0,15;0,03;343;Asia and the Pacific
;1920;76,5;20;2,3;1,1;1,15;0,9;0,22;0,04;423;Asia and the Pacific
;1925;69,5;19,1;9,7;1,7;2,11;1,35;0,7;0,06;475;Asia and the Pacific
;1930;63,4;23,2;11,1;2,2;2,54;1,64;0,83;0,08;541;Asia and the Pacific
;1935;56;28,9;12,5;2,5;3;1,98;0,93;0,09;639;Asia and the Pacific
;1940;45,7;36,9;14,5;3;3,67;2,48;1,09;0,11;1188;Asia and the Pacific
;1945;39,5;40,8;16,4;3,3;4,14;2,81;1,22;0,12;1036;Asia and the Pacific
;1950;37,6;40,4;18,3;3,7;4,46;2,97;1,35;0,13;1326;Asia and the Pacific
;1955;33,5;43,5;18,8;4,2;4,76;3,2;1,43;0,13;1548;Asia and the Pacific
;1960;30;45,7;19,7;4,6;5,05;3,4;1,51;0,15;1732;Asia and the Pacific
;1965;23;46,3;25,9;4,7;5,93;3,89;1,89;0,15;2078;Asia and the Pacific
;1970;20,9;42,5;34;2,7;6,58;4,23;2,27;0,08;2327;Asia and the Pacific
;1975;16,6;41;39;3,3;7,26;4,54;2,62;0,1;2824;Asia and the Pacific
;1980;12,3;34,7;46;7;8,42;4,89;3,32;0,21;3426;Asia and the Pacific
;1985;9,8;28,7;53,9;7,6;9,24;5,13;3,87;0,24;3772;Asia and the Pacific
;1990;7,8;24;56;12,3;10,08;5,32;4,36;0,4;3994;Asia and the Pacific
;1995;9,9;20,6;55,4;14,2;10,21;5,26;4,46;0,49;4406;Asia and the Pacific
;2000;10,6;18,5;55,9;15;10,37;5,26;4,57;0,54;4810;Asia and the Pacific
;2005;2,3;14,4;57,1;26,2;12,17;5,78;5,42;0,97;5180;Asia and the Pacific
;2010;1,4;13,4;65;20,1;12,2;5,85;5,6;0,75;5510;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
India;1870;99,6;0,1;0,2;0;0,03;0,02;0,01;0;145914;Asia and the Pacific
;1875;99,5;0,2;0,3;0;0,03;0,02;0,01;0;146820;Asia and the Pacific
;1880;99,3;0,3;0,4;0;0,04;0,03;0,02;0;128627;Asia and the Pacific
;1885;98,9;0,7;0,5;0;0,06;0,04;0,02;0;152859;Asia and the Pacific
;1890;98,2;1,2;0,6;0;0,1;0,07;0,03;0;153150;Asia and the Pacific
;1895;97,4;1,8;0,7;0;0,13;0,1;0,03;0;161256;Asia and the Pacific
;1900;96,6;2,4;0,9;0;0,16;0,12;0,04;0;162429;Asia and the Pacific
;1905;94,3;4,7;1;0,1;0,24;0,2;0,04;0;170872;Asia and the Pacific
;1910;92;6,8;1,1;0,1;0,32;0,27;0,05;0;177858;Asia and the Pacific
;1915;89,8;8,8;1,3;0,2;0,41;0,34;0,06;0;177347;Asia and the Pacific
;1920;85,9;13;1;0,2;0,52;0,46;0,05;0,01;176282;Asia and the Pacific
;1925;83,6;14,8;1,3;0,3;0,61;0,54;0,07;0,01;184429;Asia and the Pacific
;1930;81,1;17;1,5;0,4;0,72;0,63;0,08;0,01;193713;Asia and the Pacific
;1935;79,2;18,6;1,8;0,4;0,81;0,69;0,1;0,01;208860;Asia and the Pacific
;1940;77,5;20,1;1,9;0,5;0,88;0,76;0,11;0,02;225905;Asia and the Pacific
;1945;75,7;21,8;2;0,5;0,96;0,83;0,11;0,02;241673;Asia and the Pacific
;1950;74,4;22,8;2,2;0,6;1,02;0,88;0,11;0,02;206434;Asia and the Pacific
;1955;73;24,1;2,3;0,6;1,08;0,94;0,12;0,02;227645;Asia and the Pacific
;1960;71,4;25,4;2,6;0,6;1,16;1,02;0,12;0,02;251241;Asia and the Pacific
;1965;70,3;24,8;4;0,9;1,33;1,11;0,19;0,03;277538;Asia and the Pacific
;1970;65,6;27,4;5,8;1,1;1,65;1,36;0,25;0,04;310274;Asia and the Pacific
;1975;64,9;20,8;12,4;1,9;2,09;1,53;0,5;0,06;349890;Asia and the Pacific
;1980;64,9;13;19,6;2,5;2,46;1,64;0,75;0,08;395409;Asia and the Pacific
;1985;56,9;17;22,7;3,3;3,03;2,03;0,9;0,11;445980;Asia and the Pacific
;1990;50,1;19,2;26,6;4,1;3,56;2,37;1,06;0,13;501996;Asia and the Pacific
;1995;45,8;18,6;29,3;6,3;4,3;2,63;1,48;0,2;558027;Asia and the Pacific
;2000;41,7;16,6;34,3;7,4;5,3;2,86;2,2;0,24;622630;Asia and the Pacific
;2005;35;17,9;39;8,1;5,94;3,21;2,47;0,26;691452;Asia and the Pacific
;2010;30,1;17,2;43,9;8,8;6,59;3,47;2,84;0,28;762026;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Indonesia;1870;99,9;0,1;0;0;0,01;0,01;0;0;19020;Asia and the Pacific
;1875;99,8;0,1;0;0;0,01;0,01;0;0;19964;Asia and the Pacific
;1880;99,8;0,2;0;0;0,01;0,01;0;0;20975;Asia and the Pacific
;1885;99,7;0,3;0;0;0,01;0,01;0;0;22241;Asia and the Pacific
;1890;99,6;0,4;0;0;0,02;0,02;0;0;23421;Asia and the Pacific
;1895;99,3;0,7;0;0;0,03;0,03;0;0;24647;Asia and the Pacific
;1900;99,1;0,9;0;0;0,04;0,03;0;0;25992;Asia and the Pacific
;1905;97,8;2,1;0,1;0;0,09;0,08;0;0;27373;Asia and the Pacific
;1910;96,7;3,2;0,1;0;0,13;0,12;0,01;0;28759;Asia and the Pacific
;1915;95,7;4,1;0,2;0;0,17;0,16;0,01;0;30268;Asia and the Pacific
;1920;90,7;8,1;1,2;0;0,43;0,39;0,05;0;31525;Asia and the Pacific
;1925;88,7;10;1,3;0;0,52;0,47;0,05;0;33282;Asia and the Pacific
;1930;87;11,5;1,4;0;0,6;0,54;0,05;0;35336;Asia and the Pacific
;1935;84,4;14;1,6;0;0,71;0,65;0,06;0;38563;Asia and the Pacific
;1940;82;16,4;1,6;0;0,82;0,75;0,06;0;42410;Asia and the Pacific
;1945;78,9;19,2;1,9;0,1;0,96;0,89;0,07;0;44158;Asia and the Pacific
;1950;75;22,7;2,3;0,1;1,14;1,06;0,08;0;45233;Asia and the Pacific
;1955;71,3;26;2,6;0,1;1,31;1,21;0,1;0;49699;Asia and the Pacific
;1960;65,9;30,3;3,7;0,1;1,67;1,52;0,14;0;54354;Asia and the Pacific
;1965;55,2;39;5,4;0,3;2,28;2,05;0,22;0,01;59125;Asia and the Pacific
;1970;43,2;48,2;8,1;0,4;2,98;2,63;0,33;0,01;65698;Asia and the Pacific
;1975;36,4;52,7;10,3;0,6;3,37;2,9;0,45;0,02;74399;Asia and the Pacific
;1980;29,1;57,2;13,1;0,6;3,85;3,24;0,6;0,02;84186;Asia and the Pacific
;1985;37,2;42,7;18,5;1,6;4,05;3,11;0,88;0,05;96502;Asia and the Pacific
;1990;40,8;31,6;25,7;1,9;4,44;3,16;1,22;0,06;109504;Asia and the Pacific
;1995;29,7;45,8;22,4;2,2;4,89;3,71;1,11;0,07;122799;Asia and the Pacific
;2000;19,3;58,1;20,5;2,2;5,41;4,29;1,05;0,07;135844;Asia and the Pacific
;2005;12;51,2;31,8;4,9;6,68;4,8;1,73;0,16;147458;Asia and the Pacific
;2010;4,8;43,2;45,2;6,8;8,02;5,31;2,48;0,22;158449;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Malaysia;1870;99,7;0,3;0;0;0,02;0,01;0;0;494;Asia and the Pacific
;1875;99,5;0,5;0;0;0,02;0,02;0;0;619;Asia and the Pacific
;1880;99,4;0,6;0;0;0,03;0,02;0;0;744;Asia and the Pacific
;1885;99,1;0,8;0;0;0,04;0,03;0;0;871;Asia and the Pacific
;1890;98,8;1,1;0,1;0;0,05;0,04;0;0;998;Asia and the Pacific
;1895;98,4;1,6;0,1;0;0,06;0,06;0;0;1208;Asia and the Pacific
;1900;97,8;2,1;0,1;0;0,09;0,08;0,01;0;1419;Asia and the Pacific
;1905;94,8;4,6;0,5;0,1;0,22;0,19;0,03;0;1617;Asia and the Pacific
;1910;91,6;7,3;0,9;0,2;0,36;0,31;0,05;0;1856;Asia and the Pacific
;1915;88,8;9,7;1,3;0,2;0,5;0,42;0,07;0,01;2067;Asia and the Pacific
;1920;86;11,2;2,3;0,5;0,69;0,55;0,13;0,01;2296;Asia and the Pacific
;1925;80;16;3,3;0,7;1,01;0,8;0,19;0,02;2569;Asia and the Pacific
;1930;74,6;20,3;4,2;0,9;1,3;1,03;0,25;0,02;2879;Asia and the Pacific
;1935;70,1;24;4,8;1,1;1,53;1,22;0,28;0,03;3065;Asia and the Pacific
;1940;66,2;27,3;5,3;1,2;1,75;1,4;0,31;0,03;3261;Asia and the Pacific
;1945;62,3;30,7;5,7;1,3;1,96;1,59;0,34;0,03;2796;Asia and the Pacific
;1950;58;34,3;6,2;1,4;2,21;1,81;0,37;0,04;3304;Asia and the Pacific
;1955;53,7;36,9;7,8;1,5;2,5;2,02;0,44;0,04;3722;Asia and the Pacific
;1960;48;39,9;10,5;1,5;2,99;2,39;0,56;0,04;4176;Asia and the Pacific
;1965;41,6;42,5;14,3;1,7;3,54;2,76;0,73;0,04;4809;Asia and the Pacific
;1970;33,5;44,5;20,2;1,8;4,41;3,33;1,02;0,05;5643;Asia and the Pacific
;1975;29,2;42,8;26;2;5,06;3,66;1,35;0,05;6641;Asia and the Pacific
;1980;23,8;38,9;33,5;3,7;6,06;4,05;1,92;0,09;7849;Asia and the Pacific
;1985;19,1;34,7;40;6,2;7,03;4,43;2,43;0,16;9029;Asia and the Pacific
;1990;15,1;29;46,6;9,3;8,01;4,77;3;0,24;10671;Asia and the Pacific
;1995;11,6;26,4;52,8;9,2;8,66;5,02;3,4;0,24;12290;Asia and the Pacific
;2000;8,9;21,7;58,8;10,6;9,49;5,24;3,98;0,27;14303;Asia and the Pacific
;2005;6,9;18,8;59,5;14,8;10,16;5,39;4,38;0,38;15971;Asia and the Pacific
;2010;4,4;16,8;59,4;19,4;10,89;5,56;4,82;0,5;17993;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Myanmar;1870;98,3;1,7;0;0;0,05;0,04;0;0;2510;Asia and the Pacific
;1875;97,4;2,6;0;0;0,07;0,07;0;0;2991;Asia and the Pacific
;1880;96,2;3,8;0;0;0,1;0,1;0;0;3472;Asia and the Pacific
;1885;94,1;5,9;0,1;0;0,16;0,15;0;0;3954;Asia and the Pacific
;1890;91,4;8,5;0,2;0;0,23;0,22;0,01;0;4436;Asia and the Pacific
;1895;89,3;10,4;0,3;0;0,29;0,27;0,01;0;5234;Asia and the Pacific
;1900;88,4;10,4;1,1;0,1;0,36;0,31;0,05;0;6032;Asia and the Pacific
;1905;87,2;10,8;2;0,1;0,45;0,35;0,09;0;6591;Asia and the Pacific
;1910;86;11;2,8;0,1;0,53;0,4;0,13;0;7087;Asia and the Pacific
;1915;80,7;13,6;5,6;0,1;0,83;0,58;0,25;0;7446;Asia and the Pacific
;1920;79,7;13,6;6,6;0,2;0,92;0,62;0,3;0,01;7779;Asia and the Pacific
;1925;78,8;13,8;7,2;0,2;0,98;0,65;0,33;0,01;8187;Asia and the Pacific
;1930;77,6;13,9;8,3;0,2;1,09;0,7;0,38;0,01;8630;Asia and the Pacific
;1935;77,6;12,8;9,4;0,3;1,16;0,72;0,43;0,01;9216;Asia and the Pacific
;1940;76,6;13;10,1;0,3;1,23;0,76;0,47;0,01;9436;Asia and the Pacific
;1945;77,1;12,9;9,6;0,3;1,2;0,74;0,45;0,01;10464;Asia and the Pacific
;1950;76,5;14,3;8,9;0,3;1,17;0,74;0,42;0,01;10515;Asia and the Pacific
;1955;74,8;15,7;9,2;0,4;1,25;0,79;0,44;0,01;11083;Asia and the Pacific
;1960;74,2;16,2;9,2;0,4;1,27;0,81;0,44;0,01;12013;Asia and the Pacific
;1965;70,2;19,1;10,3;0,4;1,44;0,94;0,49;0,01;13263;Asia and the Pacific
;1970;70;18,1;11,6;0,3;1,52;0,95;0,55;0,01;14805;Asia and the Pacific
;1975;67,2;18,8;13,8;0,2;1,69;1,05;0,63;0,01;16599;Asia and the Pacific
;1980;54,9;27,3;16,3;1,5;2,34;1,43;0,86;0,04;18628;Asia and the Pacific
;1985;45;33,7;19,2;2,1;2,87;1,74;1,06;0,06;21004;Asia and the Pacific
;1990;31,5;54,9;9,8;3,8;2,99;2,14;0,72;0,12;23724;Asia and the Pacific
;1995;25,8;59,3;10,7;4,2;3,4;2,46;0,81;0,13;26727;Asia and the Pacific
;2000;21,1;61,5;11,5;5,9;3,89;2,76;0,96;0,18;29963;Asia and the Pacific
;2005;17,9;60,8;13;8,2;4,45;3,02;1,19;0,25;33131;Asia and the Pacific
;2010;13,5;60,9;14,6;11;5,11;3,33;1,45;0,33;36230;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Nepal;1870;100;0;0;0;0,01;0;0;0;2756;Asia and the Pacific
;1875;100;0;0;0;0,01;0;0;0;2828;Asia and the Pacific
;1880;100;0;0;0;0,01;0;0;0;2899;Asia and the Pacific
;1885;100;0;0;0;0,01;0;0;0;2971;Asia and the Pacific
;1890;100;0;0;0;0,01;0;0;0;3042;Asia and the Pacific
;1895;100;0;0;0;0,01;0;0;0;3068;Asia and the Pacific
;1900;100;0;0;0;0,01;0;0;0;3093;Asia and the Pacific
;1905;99,9;0,1;0;0;0,01;0;0;0;3194;Asia and the Pacific
;1910;99,9;0,1;0,1;0;0,01;0,01;0;0;3295;Asia and the Pacific
;1915;99,8;0,1;0,1;0;0,01;0,01;0;0;3299;Asia and the Pacific
;1920;99,1;0,2;0,7;0,1;0,07;0,04;0,03;0;3660;Asia and the Pacific
;1925;99,1;0,2;0,7;0,1;0,08;0,04;0,03;0;3826;Asia and the Pacific
;1930;99;0,2;0,7;0,1;0,08;0,05;0,03;0;3991;Asia and the Pacific
;1935;98,9;0,2;0,8;0,1;0,09;0,05;0,03;0;4171;Asia and the Pacific
;1940;98,8;0,2;0,9;0,1;0,09;0,06;0,04;0;4351;Asia and the Pacific
;1945;98,7;0,2;1;0,1;0,11;0,06;0,04;0;4799;Asia and the Pacific
;1950;98,6;0,3;1,1;0,1;0,11;0,07;0,04;0;4971;Asia and the Pacific
;1955;98,4;0,4;1,1;0,1;0,12;0,07;0,05;0;5276;Asia and the Pacific
;1960;98,2;0,6;1,1;0,2;0,14;0,08;0,05;0;5620;Asia and the Pacific
;1965;95,9;1,7;2,2;0,3;0,28;0,18;0,09;0,01;6067;Asia and the Pacific
;1970;92,2;3,2;4,3;0,3;0,52;0,34;0,17;0,01;6695;Asia and the Pacific
;1975;88,6;5,2;5,4;0,8;0,75;0,49;0,23;0,02;7458;Asia and the Pacific
;1980;84,4;7;7,3;1,2;1,04;0,67;0,33;0,04;8335;Asia and the Pacific
;1985;74,5;9,7;13,1;2,7;1,86;1,13;0,64;0,08;9320;Asia and the Pacific
;1990;64,9;11,3;20,1;3,7;2,58;1,41;1,06;0,12;10464;Asia and the Pacific
;1995;60,2;15,9;19,9;3,9;2,76;1,62;1,02;0,12;11872;Asia and the Pacific
;2000;51,6;23,3;22,1;3;3,13;2,01;1,02;0,1;13579;Asia and the Pacific
;2005;41,8;28,5;26,8;3;3,74;2,49;1,16;0,1;15552;Asia and the Pacific
;2010;33;32,6;31,4;3;4,44;2,94;1,4;0,1;17874;Asia and the Pacific
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Pakistan;1870;99,9;0,1;0;0;0,01;0;0;0;10824;Asia and the Pacific
;1875;99,9;0,1;0;0;0,01;0;0;0;10899;Asia and the Pacific
